web_name,position,team_name,now_cost,total_points,points_per_game,form,selected_by_percent,value_per_million,score
Caicedo,Midfielder,Chelsea,55,98,2.6,0.0,7.5,1.7818181818181817,15.774822727272728
Merino,Midfielder,Arsenal,60,92,3.3,0.0,0.9,1.5333333333333334,15.53875
Kayode,Defender,Brentford,45,27,2.2,0.0,0.3,0.6,15.48115
L.Paquetá,Midfielder,West Ham,60,80,2.4,0.0,0.9,1.3333333333333333,15.3987
Aké,Defender,Man City,55,25,2.5,0.0,0.5,0.45454545454545453,15.302031818181819
Sancho,Midfielder,Man Utd,60,86,2.8,0.0,0.1,1.4333333333333333,15.1227
Yoro,Defender,Man Utd,45,22,1.0,0.0,1.0,0.4888888888888889,14.981333333333335
Gomez,Defender,Liverpool,50,14,1.6,0.0,0.2,0.28,14.72785
Marmoush,Midfielder,Man City,85,73,4.6,0.0,14.5,0.8588235294117647,14.687523529411765
Muniz,Forward,Fulham,55,86,2.8,0.0,2.6,1.5636363636363637,14.311695454545456
Buonanotte,Midfielder,Brighton,50,75,2.4,0.0,0.3,1.5,13.9304
Gomes,Midfielder,Wolves,55,87,2.4,0.0,0.1,1.5818181818181818,13.906022727272726
C.Jones,Midfielder,Liverpool,55,87,2.6,0.0,0.1,1.5818181818181818,13.812372727272727
Wilson,Midfielder,Fulham,55,78,3.1,0.0,1.0,1.4181818181818182,13.570127272727273
Scarles,Defender,West Ham,45,29,1.9,0.0,0.1,0.6444444444444445,13.409616666666668
Baleba,Midfielder,Brighton,50,87,2.6,0.0,4.6,1.74,13.193999999999999
Georginio,Midfielder,Brighton,60,95,3.4,0.0,0.5,1.5833333333333333,13.10005
Hinshelwood,Midfielder,Brighton,55,89,3.4,0.0,0.2,1.6181818181818182,12.734677272727275
Ayari,Midfielder,Brighton,50,74,2.2,0.0,0.2,1.48,12.699900000000001
Harrison,Midfielder,Leeds,55,81,2.4,0.0,0.2,1.4727272727272727,12.68430909090909
Bellegarde,Midfielder,Wolves,55,90,2.6,0.0,0.1,1.6363636363636365,12.428754545454545
Igor,Defender,Brighton,45,18,1.4,0.0,0.1,0.4,12.312950000000003
Kinsky,Goalkeeper,Spurs,40,17,2.8,0.0,5.8,0.425,12.230749999999999
McGinn,Midfielder,Aston Villa,55,78,2.3,0.0,0.6,1.4181818181818182,12.063577272727272
Casemiro,Midfielder,Man Utd,55,48,2.0,0.0,0.2,0.8727272727272727,11.555359090909093
Højlund,Forward,Man Utd,65,78,2.4,0.0,1.1,1.2,11.544899999999998
Gana,Midfielder,Everton,55,89,2.4,0.0,0.1,1.6181818181818182,11.495877272727272
Tuanzebe,Defender,Burnley,40,27,1.2,0.0,3.8,0.675,11.326749999999999
F.Kadıoğlu,Defender,Brighton,45,19,3.2,0.0,0.3,0.4222222222222222,11.097583333333333
Darwin,Forward,Liverpool,65,66,2.2,0.0,1.5,1.0153846153846153,11.042957692307693
Travers,Goalkeeper,Everton,45,19,3.8,0.0,0.2,0.4222222222222222,10.945833333333335
Enciso,Midfielder,Brighton,55,59,2.4,0.0,0.2,1.0727272727272728,10.738659090909092
P.M.Sarr,Midfielder,Spurs,50,71,2.0,0.0,1.6,1.42,10.738050000000001
Nwaneri,Midfielder,Arsenal,55,66,2.5,0.0,0.5,1.2,10.374100000000002
Hughes,Midfielder,Crystal Palace,50,67,2.0,0.0,0.1,1.34,10.366000000000001
Nketiah,Forward,Crystal Palace,55,53,1.8,0.0,1.6,0.9636363636363636,10.285445454545455
Zirkzee,Forward,Man Utd,60,64,2.0,0.0,1.1,1.0666666666666667,10.18425
Lukić,Midfielder,Fulham,50,56,1.9,0.0,0.1,1.12,10.1754
Yates,Midfielder,Nott'm Forest,50,67,1.9,0.0,0.2,1.34,10.136050000000001
Adingra,Midfielder,Sunderland,55,60,2.1,0.0,3.0,1.0909090909090908,9.777686363636366
J.Ramsey,Midfielder,Aston Villa,55,66,2.3,0.0,0.6,1.2,9.700800000000003
Walker,Defender,Burnley,45,13,0.9,0.0,2.3,0.28888888888888886,9.631633333333333
Nkunku,Midfielder,Chelsea,60,60,2.2,0.0,0.3,1.0,9.6252
Onana,Midfielder,Aston Villa,50,65,2.5,0.0,1.7,1.3,9.595650000000001
Janelt,Midfielder,Brentford,50,73,2.3,0.0,0.2,1.46,9.33155
Ward-Prowse,Midfielder,West Ham,60,51,2.1,0.0,0.4,0.85,9.309149999999999
Brooks,Midfielder,Bournemouth,50,52,1.8,0.0,0.1,1.04,9.26305
O'Riley,Midfielder,Brighton,55,50,2.4,0.0,0.2,0.9090909090909091,9.162813636363635
Khusanov,Defender,Man City,55,14,2.3,0.0,0.3,0.2545454545454545,9.153331818181819
Hill,Defender,Bournemouth,40,17,1.7,0.0,0.8,0.425,9.1009
Sessegnon,Midfielder,Fulham,55,57,3.6,0.0,0.2,1.0363636363636364,9.034154545454546
Jörgensen,Goalkeeper,Chelsea,45,18,3.0,0.0,0.2,0.4,8.896999999999998
Lerma,Midfielder,Crystal Palace,50,58,1.8,0.0,0.1,1.16,8.8775
Adams,Midfielder,Bournemouth,50,58,2.1,0.0,0.2,1.16,8.85195
Wieffer,Midfielder,Brighton,50,52,2.1,0.0,0.1,1.04,8.786150000000001
Alcaraz,Midfielder,Everton,55,44,2.8,0.0,0.4,0.8,8.5483
Gruda,Midfielder,Brighton,55,45,2.1,0.0,0.1,0.8181818181818182,8.346527272727272
Grealish,Midfielder,Man City,65,38,1.9,0.0,0.1,0.5846153846153846,8.343192307692307
Bailey,Midfielder,Aston Villa,55,47,2.0,0.0,0.5,0.8545454545454545,8.314781818181817
Guedes,Midfielder,Wolves,55,62,2.1,0.0,0.1,1.1272727272727272,8.14804090909091
Wharton,Midfielder,Crystal Palace,50,42,2.1,0.0,0.6,0.84,8.091700000000001
Bentancur,Midfielder,Spurs,55,49,1.9,0.0,0.1,0.8909090909090909,8.025636363636364
Tel,Midfielder,Spurs,65,42,3.2,0.0,0.2,0.6461538461538462,7.832323076923077
Jota,Midfielder,Nott'm Forest,55,52,1.7,0.0,0.1,0.9454545454545454,7.743568181818182
André,Midfielder,Wolves,55,61,1.8,0.0,0.1,1.1090909090909091,7.729963636363636
Füllkrug,Forward,West Ham,60,42,2.3,0.0,1.4,0.7,7.604150000000001
Krafth,Defender,Newcastle,45,17,1.4,0.0,0.1,0.37777777777777777,7.3783666666666665
Ugarte,Midfielder,Man Utd,50,49,1.7,0.0,0.2,0.98,7.35585
Berge,Midfielder,Fulham,50,53,1.7,0.0,0.1,1.06,7.330049999999999
Kamada,Midfielder,Crystal Palace,50,45,1.3,0.0,0.1,0.9,7.30225
Barkley,Midfielder,Aston Villa,50,44,2.2,0.0,0.3,0.88,7.21035
Kamara,Midfielder,Aston Villa,50,57,2.2,0.0,0.2,1.14,7.187
Willock,Midfielder,Newcastle,50,46,1.4,0.0,0.2,0.92,7.18125
Munetsi,Midfielder,Wolves,55,50,3.6,0.0,0.1,0.9090909090909091,7.150213636363637
Johnstone,Goalkeeper,Wolves,45,12,1.7,0.0,0.2,0.26666666666666666,7.0065
Garner,Midfielder,Everton,50,42,2.0,0.0,0.1,0.84,6.8055
Heaven,Defender,Man Utd,40,10,2.5,0.0,2.2,0.25,6.73095
Nelson,Midfielder,Arsenal,50,27,2.2,0.0,0.2,0.54,6.57515
Mainoo,Midfielder,Man Utd,50,42,1.7,0.0,1.0,0.84,6.5283
Steele,Goalkeeper,Brighton,45,9,4.5,0.0,0.4,0.2,6.384
Patterson,Defender,Everton,45,14,1.4,0.0,0.2,0.3111111111111111,6.323766666666667
Bergvall,Midfielder,Spurs,55,44,1.6,0.0,0.2,0.8,6.319999999999999
Richarlison,Forward,Spurs,65,35,2.3,0.0,1.0,0.5384615384615384,6.255619230769231
Clyne,Defender,Crystal Palace,40,18,1.4,0.0,0.7,0.45,6.226350000000001
Álvarez,Midfielder,West Ham,50,40,1.4,0.0,0.2,0.8,6.12845
Bissouma,Midfielder,Spurs,55,50,1.8,0.0,0.1,0.9090909090909091,6.0761636363636375
Yarmoliuk,Midfielder,Brentford,50,43,1.4,0.0,0.1,0.86,5.93075
Cairney,Midfielder,Fulham,50,33,1.3,0.0,0.1,0.66,5.4195
Malen,Midfielder,Aston Villa,55,34,2.4,0.0,1.7,0.6181818181818182,5.357527272727273
Elliott,Midfielder,Liverpool,55,33,1.8,0.0,0.2,0.6,5.27795
Jensen,Midfielder,Brentford,50,38,1.6,0.0,0.1,0.76,5.266299999999999
Bentley,Goalkeeper,Wolves,40,9,4.5,0.0,1.2,0.225,5.22775
Sinisterra,Midfielder,Bournemouth,50,23,1.9,0.0,0.2,0.46,5.210449999999999
Shaw,Defender,Man Utd,45,5,0.7,0.0,0.2,0.1111111111111111,5.118966666666666
Mount,Midfielder,Man Utd,60,25,1.5,0.0,0.1,0.4166666666666667,5.11315
Neto,Goalkeeper,Bournemouth,45,7,3.5,0.0,1.2,0.15555555555555556,5.067333333333333
Scott,Midfielder,Bournemouth,50,26,1.3,0.0,0.1,0.52,4.70525
Carvalho,Midfielder,Brentford,50,35,1.8,0.0,0.3,0.7,4.69715
Mosquera,Defender,Wolves,45,3,0.6,0.0,0.1,0.06666666666666667,4.68705
Odobert,Midfielder,Spurs,55,34,2.1,0.0,0.1,0.6181818181818182,4.684877272727273
Boly,Defender,Nott'm Forest,40,6,1.0,0.0,0.6,0.15,4.6098
J.Cuenca,Defender,Fulham,45,9,1.1,0.0,0.1,0.2,4.527450000000001
Gomez,Midfielder,Brighton,50,30,1.9,0.0,0.1,0.6,4.365350000000001
Devenny,Midfielder,Crystal Palace,45,34,1.5,0.0,1.7,0.7555555555555555,4.328033333333333
Coleman,Defender,Everton,45,5,1.0,0.0,0.1,0.1111111111111111,4.282366666666667
McAtee,Midfielder,Man City,55,31,2.1,0.0,0.1,0.5636363636363636,4.0515454545454554
Gray,Midfielder,Spurs,50,45,1.6,0.0,0.2,0.9,3.9924999999999997
Bogarde,Defender,Aston Villa,40,6,0.8,0.0,0.3,0.15,3.9611500000000004
B.Badiashile,Defender,Chelsea,45,7,1.4,0.0,0.1,0.15555555555555556,3.894933333333333
Phillips,Midfielder,Man City,50,27,1.4,0.0,0.1,0.54,3.8125499999999994
G.Rodriguez,Midfielder,West Ham,50,36,1.6,0.0,0.1,0.72,3.7953500000000004
N.Gonzalez,Midfielder,Man City,60,31,2.8,0.0,0.1,0.5166666666666667,3.7354999999999996
Bayindir,Goalkeeper,Man Utd,50,8,2.0,0.0,0.5,0.16,3.717
A.García,Defender,Aston Villa,40,8,1.1,0.0,1.0,0.2,3.6708000000000003
Hee Chan,Midfielder,Wolves,60,37,1.8,0.0,0.2,0.6166666666666667,3.6248
Wirtz,Midfielder,Liverpool,85,0,0.0,0.0,34.8,0.0,3.48
Longstaff,Midfielder,Leeds,50,34,1.4,0.0,0.4,0.68,3.3411500000000003
Esse,Midfielder,Crystal Palace,50,22,3.1,0.0,0.3,0.44,3.1128999999999993
Lavia,Midfielder,Chelsea,50,26,1.6,0.0,0.1,0.52,3.0376
Sangaré,Midfielder,Nott'm Forest,50,20,1.5,0.0,0.1,0.4,2.8691999999999998
J.Araujo,Defender,Bournemouth,40,12,1.0,0.0,1.3,0.3,2.7846
Awoniyi,Forward,Nott'm Forest,55,32,1.2,0.0,0.7,0.5818181818181818,2.7721727272727272
L.Miley,Midfielder,Newcastle,45,21,1.5,0.0,3.3,0.4666666666666667,2.6352
George,Midfielder,Chelsea,50,17,2.1,0.0,0.1,0.34,2.49985
Iroegbunam,Midfielder,Everton,50,22,1.2,0.0,0.1,0.44,2.4541
Acheampong,Defender,Chelsea,40,4,1.0,0.0,0.3,0.1,2.3884000000000003
Philip,Midfielder,Bournemouth,50,10,1.0,0.0,0.1,0.2,2.2887999999999997
Pedro Lima,Defender,Wolves,40,2,0.7,0.0,1.5,0.05,2.2609500000000002
Valdimarsson,Goalkeeper,Brentford,40,2,1.0,0.0,2.3,0.05,2.0797000000000003
Fredricson,Defender,Man Utd,40,2,1.0,0.0,0.2,0.05,2.0758
Dewsbury-Hall,Midfielder,Chelsea,50,18,1.4,0.0,0.1,0.36,1.8668500000000001
Moore,Midfielder,Spurs,50,19,1.9,0.0,0.1,0.38,1.86495
Amass,Defender,Man Utd,40,4,0.8,0.0,0.3,0.1,1.84725
Antony,Midfielder,Man Utd,60,8,1.0,0.0,0.1,0.13333333333333333,1.81675
M.França,Midfielder,Crystal Palace,45,9,2.2,0.0,0.1,0.2,1.7826000000000002
Osula,Forward,Newcastle,55,19,1.4,0.0,0.2,0.34545454545454546,1.7480181818181817
King,Midfielder,Fulham,45,10,1.2,0.0,0.3,0.2222222222222222,1.429633333333333
Milner,Midfielder,Brighton,50,6,1.5,0.0,0.1,0.12,1.4065
Frimpong,Defender,Liverpool,60,0,0.0,0.0,26.9,0.0,1.345
L.Guilherme,Midfielder,West Ham,50,12,1.0,0.0,0.1,0.24,1.33295
Endo,Midfielder,Liverpool,50,21,1.1,0.0,0.1,0.42,1.30595
A.Ramsey,Midfielder,Burnley,45,0,0.0,0.0,12.9,0.0,1.29
March,Midfielder,Brighton,60,7,0.9,0.0,0.1,0.11666666666666667,1.22555
Gyökeres,Forward,Arsenal,90,0,0.0,0.0,23.9,0.0,1.195
Austin,Goalkeeper,Spurs,40,1,1.0,0.0,0.3,0.025,1.17325
Édouard,Forward,Crystal Palace,50,7,1.2,0.0,1.0,0.14,1.11805
Scarlett,Forward,Spurs,45,6,2.0,0.0,0.9,0.13333333333333333,1.08655
Soler,Defender,Bournemouth,40,3,1.0,0.0,0.4,0.075,1.0817
Ji-soo,Defender,Brentford,40,3,1.0,0.0,0.3,0.075,1.07765
Irving,Midfielder,West Ham,45,9,0.9,0.0,0.3,0.2,1.05805
Collyer,Midfielder,Man Utd,45,6,1.0,0.0,0.2,0.13333333333333333,1.0387
Obi,Forward,Man Utd,45,7,1.0,0.0,5.3,0.15555555555555556,1.0363333333333333
Targett,Defender,Newcastle,40,2,1.0,0.0,0.5,0.05,0.9835
Cherki,Midfielder,Man City,65,0,0.0,0.0,9.7,0.0,0.97
Chiesa,Midfielder,Liverpool,65,7,1.2,0.0,0.1,0.1076923076923077,0.9413038461538461
Reed,Midfielder,Fulham,45,10,0.8,0.0,0.3,0.2222222222222222,0.9383333333333334
Henry,Defender,Brentford,45,4,0.8,0.0,0.2,0.08888888888888889,0.9280333333333334
Thiago,Forward,Brentford,60,9,1.1,0.0,0.9,0.15,0.87585
Maghoma,Midfielder,Brentford,45,8,1.0,0.0,0.1,0.17777777777777778,0.7822666666666668
Buendía,Midfielder,Aston Villa,55,11,0.9,0.0,0.1,0.2,0.74445
King,Goalkeeper,Wolves,40,1,1.0,0.0,3.1,0.025,0.7088
Rodrigo,Midfielder,Man City,65,3,1.0,0.0,1.6,0.046153846153846156,0.6705230769230771
Pond,Defender,Wolves,40,1,1.0,0.0,2.2,0.025,0.6638
Vitor Reis,Defender,Man City,50,1,1.0,0.0,0.1,0.02,0.65805
Marc Guiu,Forward,Chelsea,45,3,1.0,0.0,4.1,0.06666666666666667,0.6385500000000001
Orford,Midfielder,West Ham,45,2,1.0,0.0,0.2,0.044444444444444446,0.6290166666666667
Casey,Defender,West Ham,40,1,1.0,0.0,0.8,0.025,0.5938
Meghoma,Defender,Brentford,40,1,1.0,0.0,0.2,0.025,0.56395
Estève,Defender,Burnley,40,0,0.0,0.0,10.7,0.0,0.535
Godo,Midfielder,Fulham,45,2,1.0,0.0,0.1,0.044444444444444446,0.5177166666666667
Reijnders,Midfielder,Man City,55,0,0.0,0.0,5.0,0.0,0.5
Y.Chermiti,Forward,Everton,50,3,0.8,0.0,0.2,0.06,0.4811000000000001
De Cuyper,Defender,Brighton,45,0,0.0,0.0,9.0,0.0,0.45
Reinildo,Defender,Sunderland,40,0,0.0,0.0,8.5,0.0,0.42500000000000004
Armstrong,Midfielder,Everton,45,2,0.7,0.0,0.4,0.044444444444444446,0.40901666666666675
Malacia,Defender,Man Utd,40,2,0.7,0.0,0.4,0.05,0.40745000000000003
Darlow,Goalkeeper,Leeds,40,0,0.0,0.0,7.9,0.0,0.395
Bobb,Midfielder,Man City,55,3,1.0,0.0,0.1,0.05454545454545454,0.3788818181818182
Konak,Midfielder,Brentford,45,10,1.0,0.0,0.2,0.2222222222222222,0.37598333333333334
Kporha,Defender,Crystal Palace,40,2,1.0,0.0,0.2,0.05,0.36805000000000004
Agbinone,Midfielder,Crystal Palace,45,2,1.0,0.0,0.1,0.044444444444444446,0.3668666666666667
Nunes,Midfielder,Brentford,50,3,1.0,0.0,0.1,0.06,0.33955
Cornet,Midfielder,West Ham,50,1,0.5,0.0,0.1,0.02,0.33655000000000007
Da Silva Moreira,Midfielder,Nott'm Forest,45,2,1.0,0.0,0.2,0.044444444444444446,0.2880666666666667
Silcott-Duberry,Midfielder,Bournemouth,45,1,1.0,0.0,0.4,0.022222222222222223,0.2733833333333333
Winterburn,Midfielder,Bournemouth,45,4,1.0,0.0,0.1,0.08888888888888889,0.26443333333333335
Barnes,Forward,Burnley,45,0,0.0,0.0,5.0,0.0,0.25
Petrović,Goalkeeper,Bournemouth,45,0,0.0,0.0,5.0,0.0,0.25
Trevitt,Midfielder,Brentford,45,1,1.0,0.0,0.1,0.022222222222222223,0.24348333333333336
Echeverri,Midfielder,Man City,55,1,1.0,0.0,0.1,0.01818181818181818,0.24297727272727274
Ekitiké,Forward,Liverpool,85,0,0.0,0.0,4.7,0.0,0.23500000000000001
Lankshear,Forward,Spurs,45,3,1.0,0.0,0.4,0.06666666666666667,0.23050000000000004
Sarmiento,Midfielder,Brighton,50,1,1.0,0.0,0.1,0.02,0.22340000000000004
Onyeka,Midfielder,Brentford,50,2,1.0,0.0,0.1,0.04,0.21715000000000004
Danns,Forward,Liverpool,45,1,1.0,0.0,0.2,0.022222222222222223,0.21383333333333335
Trafford,Goalkeeper,Man City,50,0,0.0,0.0,3.8,0.0,0.19
Xhaka,Midfielder,Sunderland,50,0,0.0,0.0,1.7,0.0,0.17
Zubimendi,Midfielder,Arsenal,55,0,0.0,0.0,1.7,0.0,0.17
Piroe,Forward,Leeds,55,0,0.0,0.0,3.4,0.0,0.17
Bamford,Forward,Leeds,50,0,0.0,0.0,3.2,0.0,0.16000000000000003
Fraser,Forward,Wolves,45,0,0.0,0.0,2.7,0.0,0.135
E.Le Fée,Midfielder,Sunderland,50,0,0.0,0.0,1.3,0.0,0.13
Gonzalez,Midfielder,Wolves,45,0,0.0,0.0,1.3,0.0,0.13
Vuskovic,Defender,Spurs,40,0,0.0,0.0,2.5,0.0,0.125
Hoever,Defender,Wolves,40,0,0.0,0.0,2.3,0.0,0.11499999999999999
J.Arias,Midfielder,Wolves,55,0,0.0,0.0,1.0,0.0,0.1
Gudmundsson,Defender,Leeds,40,0,0.0,0.0,2.0,0.0,0.1
Rodon,Defender,Leeds,40,0,0.0,0.0,1.9,0.0,0.095
James,Midfielder,Leeds,55,0,0.0,0.0,0.9,0.0,0.09000000000000001
Kroupi.Jr,Forward,Bournemouth,45,0,0.0,0.0,1.6,0.0,0.08000000000000002
